日付,食材,数量,単位,スクリプトキック,カロリー,タンパク質,脂質,炭水化物,スコア,備考
2025-08-30,卵,2.50,個,完了,187.0kcal,15.50g,13.50g,1.20g,85点,
2025-08-30,プロテイン,50.00,g ,完了,200.0kcal,40.00g,2.00g,5.00g,90点,
2025-08-30,切り餅,3.00,個,完了,450.0kcal,9.00g,1.00g,100.00g,65点,
2025-08-30,白米,200.00,g ,完了,360.0kcal,6.00g,0.60g,80.00g,70点,
2025-08-30,卵,1.00,個,完了,68.0kcal,5.50g,4.80g,0.60g,85点,
2025-08-30,白米,200.00,g ,完了,330.0kcal,6.00g,0.50g,72.00g,65点,
2025-08-30,鶏むね肉,250.00,g ,完了,275.0kcal,54.00g,6.00g,0.00g,90点,
2025-08-30,モスバーガーチーズバーガー,1.00,g ,,428.0kcal,18.0g,21.5g,40.9g,,
2025-08-30,プロテイン,50.00,g ,完了,200.0kcal,40.00g,2.00g,5.00g,90点,
2025-08-30,hamburger,1.00,個,,259.0kcal,13.0g,9.5g,30.0g,,
2025-08-30,大福,1.00,個,完了,200.0kcal,3.00g,1.00g,45.00g,60点,
2025-08-30,よもぎ大福,1.00,個,完了,200.0kcal,4.00g,1.00g,45.00g,65点,
2025-09-01,バナナ,2.00,本,完了,180.0kcal,2.20g,0.60g,46.00g,85点,
2025-09-01,プロテイン,50.00,g ,完了,200.0kcal,40.00g,2.00g,6.00g,90点,
2025-09-01,モンスターエナジー,1.00,本,完了,140.0kcal,0.00g,0.00g,36.00g,20点,
2025-09-01,定食,,,,1000.0kcal,20.0g,20.0g,100.0g,,
2025-09-01,プロテイン,50.00,g ,完了,200.0kcal,40.00g,2.00g,5.00g,90点,
2025-09-01,ベイクドチーズけ〜き,,,,283.0kcal,4.6g,14.0g,33.5g,,
2025-09-01,プロテイン,50.00,g ,完了,200.0kcal,40.00g,2.00g,5.00g,90点,
2025-09-01,白米,290.00,g ,完了,406.0kcal,6.40g,0.90g,89.40g,65点,
2025-09-01,鶏むね肉皮無し,250.00,g ,完了,275.0kcal,55.00g,3.00g,0.00g,90点,
2025-09-01,卵2個,2.00,個,完了,140.0kcal,12.00g,10.00g,1.00g,85点,
2025-09-01,なっとう,1.00,個,完了,100.0kcal,8.00g,5.00g,6.00g,85点,
2025-09-02,切り餅,3.00,個,完了,360.0kcal,7.50g,0.60g,80.00g,65点,
2025-09-02,定食　ご飯大盛り,1.00,個,完了,650.0kcal,10.00g,1.00g,140.00g,60点,
2025-09-02,白米,480.00,g ,完了,672.0kcal,12.00g,1.00g,148.00g,65点,
2025-09-02,卵,2.00,個,完了,140.0kcal,12.00g,10.00g,1.00g,85点,
2025-09-02,鶏むね　皮なし,250.00,g ,完了,275.0kcal,55.00g,3.00g,0.00g,90点,
2025-09-02,プロテイン,150.00,g ,完了,600.0kcal,120.00g,3.00g,15.00g,90点,
2025-09-15,白米,400.00,g ,完了,672.0kcal,12.00g,1.00g,148.00g,65点,
2025-09-15,鶏むね　皮なし,280.00,g ,完了,462.0kcal,54.00g,10.00g,0.00g,85点,
2025-09-15,ジャージャー丼,1.00,杯,完了,600.0kcal,20.00g,25.00g,70.00g,75点,
2025-09-16,サツマイモ,450.00,g ,完了,540.0kcal,6.30g,0.90g,126.00g,85点,
2025-09-16,鶏むね　皮なし,300.00,g ,完了,330.0kcal,66.00g,3.90g,0.00g,90点,
2025-09-16,プロテイン,100.00,g ,完了,400.0kcal,80.00g,5.00g,10.00g,90点,
2025-09-16,白米,200.00,g ,完了,336.0kcal,6.00g,0.50g,74.00g,70点,
2025-09-16,鶏むね　皮なし,250.00,g ,完了,275.0kcal,55.00g,3.00g,0.00g,90点,
2025-09-17,バナナ,2.00,本,完了,86.0kcal,1.10g,0.20g,22.50g,85点,
2025-09-17,プロテイン,50.00,g ,完了,200.0kcal,40.00g,2.00g,6.00g,90点,
2025-09-17,トルティーヤ,1.00,個,完了,198.0kcal,8.00g,8.00g,37.00g,70点,
2025-09-17,白米(炊き上がり),350.00,g ,完了,406.0kcal,6.30g,0.80g,89.60g,65点,
2025-09-17,鶏むね　皮なし,200.00,g ,完了,440.0kcal,88.00g,4.00g,0.00g,90点,
2025-09-17,卵,4.00,個,完了,280.0kcal,24.00g,20.00g,2.00g,85点,
2025-09-17,白米(炊き上がり）,200.00,g ,完了,370.0kcal,6.00g,0.50g,81.00g,65点,
2025-09-17,どら焼き4個,4.00,個,,472.0kcal,,,,,
2025-09-17,鶏もも肉（皮極力排除,200.00,g ,完了,220.0kcal,20.00g,15.00g,0.00g,85点,
2025-09-17,鮭かま,50.00,g ,完了,85.0kcal,8.50g,5.50g,0.00g,85点,
2025-09-17,ゴールドキウイ,1.00,個,完了,79.0kcal,1.40g,0.40g,18.00g,85点,
2025-09-18,グラノーラ,50.00,g ,完了,200.0kcal,5.00g,6.00g,35.00g,75点,
2025-09-18,プロテイン,35.00,g ,完了,140.0kcal,25.00g,2.00g,5.00g,90点,
2025-09-18,モンスターPP,,,,154.0kcal,0.0g,0.0g,35.0g,,
2025-09-18,豚肉の天ぷらドン,1.00,杯,完了,650.0kcal,20.00g,35.00g,60.00g,65点,
2025-09-18,バナナ,2.00,本,完了,180.0kcal,2.20g,0.60g,46.00g,85点,
2025-09-18,プロテイン,50.00,g ,完了,200.0kcal,40.00g,2.00g,6.00g,90点,
2025-09-18,バナナ,1.00,本,完了,86.0kcal,1.10g,0.20g,22.50g,85点,
2025-09-18,白米,300.00,g ,完了,504.0kcal,8.40g,1.20g,111.60g,65点,
2025-09-18,鶏むね　皮なし,250.00,g ,完了,275.0kcal,55.00g,3.00g,0.00g,90点,
2025-09-18,全卵,2.00,個,完了,140.0kcal,12.00g,10.00g,1.00g,85点,
2025-09-19,白米,300.00,g ,完了,504.0kcal,7.50g,1.00g,111.60g,70点,
2025-09-19,全卵,2.00,個,完了,140.0kcal,12.00g,10.00g,1.00g,85点,
2025-09-19,納豆,1.00,個,完了,100.0kcal,8.00g,5.00g,6.00g,85点,
2025-09-19,白米,200.00,g ,完了,360.0kcal,6.00g,0.60g,80.00g,70点,
2025-09-19,鶏むね肉(皮なし）,400.00,g ,完了,440.0kcal,92.00g,4.00g,0.00g,90点,
2025-09-19,全卵,1.00,個,完了,68.0kcal,5.50g,4.80g,0.60g,85点,
2025-09-19,バナナ,4.00,本,完了,336.0kcal,4.00g,1.20g,84.00g,85点,
2025-09-19,鶏むね肉(皮なし）,200.00,g ,完了,220.0kcal,46.00g,2.00g,0.00g,90点,
2025-09-19,白米,200.00,g ,完了,360.0kcal,6.00g,0.60g,80.00g,70点,
2025-09-19,全卵,1.00,個,完了,68.0kcal,5.50g,4.80g,0.60g,85点,
2025-09-22,うどん大盛,1.00,杯,完了,400.0kcal,10.00g,2.00g,80.00g,65点,
2025-09-22,バナナ,1.00,本,完了,86.0kcal,1.10g,0.20g,22.50g,85点,
2025-09-22,プロテイン,40.00,g ,完了,160.0kcal,30.00g,2.00g,5.00g,90点,
